selling_price,km_driven,transmission,owner,car_age,brand_popularity,km_per_year,age_km_interaction,popularity_x_age,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,brand_Audi,brand_BMW,brand_Chevrolet,brand_Daewoo,brand_Datsun,brand_Fiat,brand_Force,brand_Ford,brand_Honda,brand_Hyundai,brand_Mahindra,brand_Maruti,brand_Mercedes-Benz,brand_Mitsubishi,brand_Nissan,brand_OpelCorsa,brand_Renault,brand_Skoda,brand_Tata,brand_Toyota,brand_Volkswagen,city_Chennai,city_Delhi,city_Hyderabad,city_Mumbai,city_Pune
60000,70000,0,1,19,59.64,3500.0,1330000,1133.16,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
135000,50000,0,1,19,59.64,2500.0,950000,1133.16,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
600000,100000,0,1,14,79.62,6666.666666666667,1400000,1114.68,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
250000,46000,0,1,9,69.28,4600.0,414000,623.52,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
450000,141000,0,2,12,82.47,10846.153846153846,1692000,989.64,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140000,125000,0,1,19,59.64,6250.0,2375000,1133.16,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
550000,25000,0,1,10,79.62,2272.7272727272725,250000,796.2,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
240000,60000,0,2,12,47.83,4615.384615384615,720000,573.96,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
850000,25000,0,1,11,79.62,2083.3333333333335,275000,875.82,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
365000,78000,0,1,9,59.64,7800.0,702000,536.76,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
260000,35000,0,1,11,40.17,2916.6666666666665,385000,441.87,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
250000,100000,0,1,12,47.83,7692.307692307692,1200000,573.96,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
585000,24000,0,1,11,59.64,2000.0,264000,656.04,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1195000,5000,0,1,7,79.62,625.0,35000,557.34,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
390000,33000,0,2,13,40.17,2357.1428571428573,429000,522.21,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
975000,4500,1,1,8,59.64,500.0,36000,477.12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
930000,14500,0,1,8,82.47,1611.111111111111,116000,659.76,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
525000,15000,0,1,8,47.83,1666.6666666666667,120000,382.64,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
450000,130400,1,2,15,72.62,8150.0,1956000,1089.3000000000002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
900000,50000,1,1,10,74.74,4545.454545454545,500000,747.4,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
850000,119000,1,1,16,37.13,7000.0,1904000,594.08,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
229999,60000,0,4,12,79.62,4615.384615384615,720000,955.44,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
625000,40000,0,1,14,79.62,2666.6666666666665,560000,1114.68,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1050000,50000,0,1,12,74.81,3846.153846153846,600000,897.72,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
560000,74000,0,2,12,82.47,5692.307692307692,888000,989.64,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
